DateTime,Entries,UniqueIPs
1490311234,669,669
1490312174,669,669
1490313151,667,667
1490314127,661,661
1490315060,665,665
1490316040,651,651
1490316991,632,632
1490317960,628,628
1490318908,628,628
1490319873,629,629
1490320911,634,634
1490322037,632,632
1490322985,632,632
1490323949,617,617
1490324904,614,614
1490325853,612,612
1490326821,608,608
1490328748,607,607
1490329716,601,601
1490330673,594,594
1490331712,594,594
1490332830,588,588
1490333800,585,585
1490334745,591,591
1490335712,592,592
1490336664,595,595
1490337639,591,591
1490338608,594,594
1490339551,584,584
1490340514,581,581
1490341477,577,577
1490342529,582,582
1490343636,583,583
1490344577,581,581
1490345541,578,578
1490346503,571,571
1490347452,570,570
1490348423,567,567
1490349381,568,568
1490350361,572,572
1490351316,568,568
1490352266,566,566
1490353305,557,557
1490354436,547,547
1490355650,546,546
1490356595,537,537
1490357567,537,537
1490358510,537,537
1490359476,539,539
1490360509,538,538
1490361622,544,544
1490362586,541,541
1490363541,548,548
1490364501,556,556
1490365449,555,555
1490366425,562,562
1490367401,561,561
1490368370,561,561
1490369312,559,559
1490370266,559,559
1490371303,563,563
1490372424,564,564
1490373387,564,564
1490374339,557,557
1490375308,551,551
1490376252,544,544
1490377222,541,541
1490378185,542,542
1490379157,533,533
1490380113,521,521
1490381063,509,509
1490382123,505,505
1490383218,499,499
1490384182,495,495
1490385141,489,489
1490386093,483,483
1490387059,475,475
1490388021,472,472
1490388973,470,470
1490389949,464,464
1490390892,468,468
1490391849,461,461
1490392897,463,463
1490394018,460,460
1490395000,460,460
1490395985,463,463
1490396923,460,460
1490397864,458,458
1490398827,458,458
1490399806,460,460
1490400761,455,455
1490401705,449,449
1490402662,449,449
1490403724,449,449
1490404820,441,441
1490405795,446,446
1490406756,449,449
1490407701,440,440
1490408664,437,437
1490409613,434,434
1490410579,434,434
1490411552,433,433
1490412497,431,431
1490413447,424,424
1490414503,422,422
1490415623,421,421
1490416596,421,421
1490417536,424,424
1490418500,424,424
1490419469,420,420
1490420415,420,420
1490421383,419,419
1490422365,417,417
1490423311,413,413
1490424261,405,405
1490425313,403,403
1490426410,404,404
1490427380,400,400
1490428336,405,405
1490429302,406,406
1490430263,407,407
1490431211,407,407
1490432181,406,406
1490433137,412,412
1490434122,412,412
1490435050,413,413
1490436090,414,414
1490436993,415,415
1490437959,414,414
1490438915,413,413
1490439864,416,416
1490440838,416,416
1490441810,416,416
1490442749,416,416
1490443704,412,412
1490444661,407,407
1490445613,400,400
1490446578,402,402
1490447562,395,395
1490448503,390,390
1490449460,388,388
1490450508,383,383
1490451616,379,379
1490452601,381,381
1490453574,373,373
1490454496,376,376
1490455475,378,378
1490456415,387,387
1490458342,385,385
1490459298,381,381
1490460272,379,379
1490461312,375,375
1490462416,381,381
1490463426,381,381
1490464354,377,377
1490465294,376,376
1490466263,375,375
1490467219,376,376
1490468175,371,371
1490469152,374,374
1490470096,374,374
1490471055,370,370
1490472283,369,369
1490473239,376,376
1490474193,383,383
1490475164,386,386
1490476118,387,387
1490477064,390,390
1490478033,393,393
1490478995,391,391
1490479954,392,392
1490480914,389,389
1490481870,386,386
1490482917,380,380
1490484029,383,383
1490484973,385,385
1490485946,385,385
1490486908,397,397
1490487851,396,396
1490488816,399,399
1490489789,399,399
1490490747,404,404
1490491725,404,404
1490492670,399,399
1490493702,407,407
1490494844,410,410
1490495795,408,408
1490496764,412,412
1490497702,419,419
1490498659,421,421
1490499632,426,426
1490500598,426,426
1490501555,439,439
1490502519,440,440
1490503460,442,442
1490504523,444,444
1490505614,453,453
1490506634,452,452
1490507544,450,450
1490508508,449,449
1490509459,459,459
1490510426,463,463
1490511382,468,468
1490512359,472,472
1490513303,469,469
1490514275,469,469
1490515313,469,469
1490516426,467,467
1490517388,462,462
1490518345,468,468
1490519303,465,465
1490520255,466,466
1490521215,468,468
1490522188,468,468
1490523150,474,474
1490524114,478,478
1490525071,482,482
1490526103,481,481
1490527225,479,479
1490528185,477,477
1490529143,473,473
1490530126,470,470
1490531065,468,468
1490532034,471,471
1490532999,478,478
1490533958,485,485
1490534906,489,489
1490535874,490,490
1490536913,488,488
1490538031,488,488
