DateTime,AddedIPs,RemovedIPs
1490134059,0,2
1490137650,0,4
1490141303,1,3
1490144858,1,22
1490148463,1,6
1490152023,28,2
1490155636,4,0
1490159256,0,1
1490162843,0,1
1490166460,1,1
1490170027,4,10
1490173648,1,0
1490177256,1,4
1490180856,2,0
1490184438,7,1
1490188042,1,1
1490191635,4,2
1490195250,1,1
1490198963,3,1
1490202444,1,1
1490206053,1,0
1490213253,0,1
1490216863,0,13
1490220430,13,0
1490224032,1,2
1490231216,1,0
1490234826,0,6
1490238429,1,23
1490242038,2,3
1490245609,20,1
1490249227,0,3
1490252803,14,2
1490260182,0,1
1490263841,3,0
1490267605,1,0
1490271310,0,2
1490275182,2,0
1490278510,0,4
1490282345,0,11
1490285716,9,3
1490289354,1,0
1490299971,0,9
1490303360,3,5
1490306826,0,3
1490310409,16,1
1490314072,0,2
1490317609,2,0
1490321224,0,2
1490324833,0,12
1490328435,1,3
1490332029,2,11
1490335608,3,4
1490339211,8,2
1490342830,0,6
1490346398,32,2
1490349984,4,0
1490357233,0,2
1490360811,0,2
1490364424,1,1
1490368028,0,2
1490371629,1,1
1490375229,0,5
1490378827,5,2
1490382482,4,0
1490397023,0,8
1490400451,1,23
1490404045,9,3
1490407645,1,2
1490411238,7,8
1490414832,2,0
1490418419,12,1
1490422033,9,0
1490425636,0,4
1490429208,4,1
1490436438,0,3
1490443625,3,23
1490447243,2,16
1490450856,4,2
1490454434,26,1
1490458028,10,1
1490462004,5,3
1490465273,4,0
1490469212,1,0
1490479614,0,3
1490483236,1,0
1490486872,0,30
1490490425,7,5
1490494021,21,1
1490501216,1,0
1490504827,8,5
1490508440,0,12
1490512038,4,2
1490515623,2,1
1490519237,1,18
1490522829,1,1
1490526434,10,10
1490530024,5,2
1490533619,3,3
1490537218,12,1
1490540834,0,10
1490544433,4,2
1490548037,2,3
1490551634,25,4
1490555221,5,2
1490562428,2,0
1490569615,0,1
1490573261,1,1
1490576840,0,4
1490580435,0,2
1490584025,0,26
1490587641,3,5
1490591254,2,1
1490594942,30,2
1490602015,5,0
1490605614,1,0
1490612806,1,1
1490616442,0,1
1490623642,0,1
1490627237,0,26
1490630814,25,1
1490638025,1,2
1490641637,1,1
1490645233,5,22
1490648815,18,0
1490652434,2,0
1490656029,0,1
1490659680,0,1
1490663237,0,12
1490666841,0,4
1490670424,5,17
1490674033,2,1
1490677625,16,1
1490681227,0,1
1490684817,17,0
