DateTime,Entries,UniqueIPs
1489588382,52,52
1489591981,52,52
1489599181,51,51
1489602781,50,50
1489606381,51,51
1489609981,52,52
1489613581,51,51
1489617181,50,50
1489620781,49,49
1489624381,45,45
1489627981,45,45
1489631581,47,47
1489635182,48,48
1489638781,49,49
1489642381,49,49
1489645981,52,52
1489649581,50,50
1489653181,51,51
1489656781,51,51
1489660381,50,50
1489663981,50,50
1489667581,51,51
1489674781,47,47
1489678382,51,51
1489681981,49,49
1489685581,47,47
1489689181,52,52
1489696381,51,51
1489699981,50,50
1489703581,49,49
1489707181,52,52
1489710781,53,53
1489714381,50,50
1489717982,48,48
1489721581,49,49
1489725181,48,48
1489728781,49,49
1489732381,50,50
1489735981,48,48
1489739581,49,49
1489743181,50,50
1489746781,50,50
1489750381,50,50
1489753981,53,53
1489761181,52,52
1489764781,54,54
1489768381,52,52
1489771981,51,51
1489775581,47,47
1489779181,46,46
1489782781,45,45
1489786381,45,45
1489789981,46,46
1489793581,45,45
1489797181,47,47
1489800781,50,50
1489804381,48,48
1489807981,50,50
1489811581,52,52
1489815181,54,54
1489818781,52,52
1489822381,50,50
1489825981,54,54
1489829581,54,54
1489833181,56,56
1489836781,57,57
1489840381,59,59
1489843981,53,53
1489847581,50,50
1489851181,52,52
1489854782,50,50
1489858381,48,48
1489861982,50,50
1489865581,47,47
1489869181,50,50
1489872781,48,48
1489876381,48,48
1489883581,47,47
1489887181,46,46
1489890781,49,49
1489897981,50,50
1489901582,50,50
1489905181,48,48
1489908782,47,47
1489912381,46,46
1489915982,49,49
1489919581,49,49
1489923182,49,49
1489926781,51,51
1489930381,50,50
1489933981,53,53
1489941181,53,53
1489944781,53,53
1489948381,51,51
1489951981,50,50
1489955581,50,50
1489959181,48,48
1489962781,49,49
1489966382,48,48
1489969981,49,49
1489973581,48,48
1489977181,49,49
1489980781,50,50
1489984381,51,51
1489987981,52,52
1489991581,53,53
1489995182,56,56
1489998782,54,54
1490002381,55,55
1490005981,52,52
1490009582,50,50
1490013181,49,49
1490016781,47,47
1490020381,47,47
1490023981,49,49
1490027581,48,48
1490031181,48,48
1490034781,50,50
1490038381,50,50
1490041981,50,50
1490045581,48,48
1490049181,51,51
1490052781,52,52
1490056381,53,53
1490059981,54,54
1490063581,54,54
1490067181,52,52
1490070781,52,52
1490074381,49,49
1490077981,44,44
1490081581,43,43
1490085182,41,41
1490088781,42,42
1490092381,45,45
1490095981,48,48
1490099581,50,50
1490103181,52,52
1490106781,53,53
1490110381,54,54
1490113981,54,54
1490117582,51,51
1490121181,52,52
1490124781,52,52
1490128381,48,48
1490131981,50,50
1490135582,51,51
1490139181,51,51
1490142781,53,53
1490146381,51,51
1490149981,54,54
1490153581,53,53
1490157181,54,54
1490164381,55,55
1490167981,56,56
1490171582,56,56
1490175181,54,54
1490178781,51,51
1490182381,50,50
1490185981,49,49
1490189581,49,49
1490193181,47,47
1490196781,48,48
1490200381,46,46
1490203981,50,50
1490207581,49,49
1490211181,48,48
1490214781,49,49
1490218381,51,51
1490221981,52,52
1490225581,52,52
1490229181,51,51
1490232781,52,52
1490236381,51,51
1490239982,49,49
1490243581,49,49
1490247181,50,50
1490250781,50,50
1490254381,54,54
1490257981,53,53
1490261581,50,50
1490265181,52,52
1490268781,51,51
1490272381,50,50
1490275981,50,50
1490279582,51,51
1490283181,46,46
1490286781,48,48
1490290381,51,51
1490293981,51,51
1490297581,54,54
1490301181,54,54
1490304782,55,55
1490308381,53,53
1490311981,52,52
1490315581,52,52
1490319181,51,51
1490322781,46,46
1490326381,45,45
1490329981,47,47
1490333582,47,47
1490337182,50,50
1490340781,54,54
1490344381,56,56
1490347981,54,54
1490351581,52,52
1490355181,51,51
1490358781,48,48
1490362381,49,49
1490365981,46,46
1490369581,45,45
1490373181,47,47
1490376781,46,46
1490380381,44,44
1490383981,46,46
1490387581,47,47
1490391181,47,47
1490394781,46,46
1490398381,47,47
1490401981,47,47
1490405581,48,48
1490409181,49,49
1490412781,47,47
1490416381,47,47
1490419981,50,50
1490423581,50,50
1490427182,50,50
1490430782,52,52
1490434381,50,50
1490437981,49,49
1490441581,51,51
1490445181,50,50
1490448781,45,45
1490452381,43,43
1490455982,43,43
1490459581,42,42
1490463181,46,46
1490466781,45,45
1490470381,52,52
1490473981,50,50
1490477582,52,52
1490481181,53,53
1490484781,53,53
1490488381,52,52
1490491981,53,53
1490495582,52,52
1490499181,52,52
1490502782,52,52
1490506381,48,48
1490509981,47,47
1490513581,48,48
1490517181,52,52
1490520781,53,53
1490524382,51,51
1490527981,51,51
1490531581,48,48
1490535181,48,48
1490538781,47,47
1490542381,46,46
1490545981,46,46
1490549581,46,46
1490553181,48,48
1490556781,47,47
1490560381,48,48
1490563981,50,50
1490567581,50,50
1490571181,50,50
1490574782,49,49
1490578381,48,48
1490581981,49,49
1490585581,51,51
1490589181,48,48
1490592781,52,52
1490596381,52,52
1490599981,48,48
1490603581,49,49
1490607182,48,48
1490610781,45,45
1490614381,48,48
1490617981,46,46
1490621581,42,42
1490625181,42,42
1490628781,43,43
1490632381,45,45
1490635981,43,43
1490639581,47,47
1490643181,46,46
1490646781,50,50
1490650381,49,49
